FORMA	FORMAKEY	LEMMA	ETIMO	LANG	POS	FUNCT	MSD
por_ce_q’	por_ce_q’						
il	il						
savoit	savoit						
q’	q’						
il	il						
avoit	avoit						
as	as						
troiens	troiens						
grant	grant						
guerre	guerre						
.	.						
si	si						
lor	lor						
demanda	demanda						
et	et						
enqist	enqist						
qi	qi						
·l	·l						
aloient	aloient						
por	por						
cele	cele						
contree	contree						
chersant	chersant						
.	.						
athenor	athenor						
li	li						
respondi	respondi						
et	et						
dist	dist						
q’	q’						
il	il						
estoit	estoit						
mesaje	mesaje						
au	au						
roi	roi						
priant	priant						
de	de						
troie	troie						
.	.						
.	.						
le_qel	le_qel						
vos	vos						
mande	mande						
par	par						
moi	moi						
qe	qe						
vos	vos						
hardist	hardist						
la	la						
cité	cité						
et	et						
li	li						
oceïst	oceïst						
son	son						
pere	pere						
et	et						
sa	sa						
mere	mere						
et	et						
ses	ses						
serors	serors						
entre	entre						
vos	vos						
et	et						
les	les						
autres	autres						
gresois	gresois						
.	.						
puis_aprés	puis_aprés						
si	si						
emmenastes	emmenastes						
une	une						
sien	sien						
suor	suor						
qe	qe						
esionan	esionan						
est	est						
apellee	apellee						
.	.						
la_qel	la_qel						
talemon	talemon						
tient	tient						
en	en						
servaje	servaje						
et	et						
en	en						
songnantaje	songnantaje						
.	.						
et	et						
por_ce	por_ce						
il	il						
vos	vos						
mande	mande						
por	por						
moi	moi						
qui	qui						
vos	vos						
li	li						
fasois	fasois						
sa	sa						
suor	suor						
rendre	rendre						
qitement	qitement						
et	et						
en	en						
pais	pais						
.	.						
et	et						
plus	plus						
ne	ne						
vos	vos						
demande	demande						
de	de						
tos	tos						
les	les						
tors	tors						
que	que						
fet	fet						
li	li						
avés	avés						
.	.						
de	de						
qoi	qoi						
il	il						
vos	vos						
avroit	avroit						
mult	mult						
à	à						
demander	demander						
.	.						
ains	ains						
vivra	vivra						
ho	ho						
vos	vos						
en	en						
bone	bone						
pes	pes						
.	.						
.	.						
quant	quant						
pelleus	pelleus						
hot	hot						
entendus	entendus						
se_qe	se_qe						
athenor	athenor						
li	li						
disoit	disoit						
.	.						
il	il						
respondi	respondi						
mult	mult						
iriement	iriement						
en	en						
tel	tel						
mainiere	mainiere						
.	.						
.	.						
vasal	vasal						
.	.						
fist	fist						
il	il						
.	.						
de	de						
ce_qe	ce_qe						
vos	vos						
me	me						
reqerrés	reqerrés						
de	de						
vostre	vostre						
seignor	seignor						
priant	priant						
.	.						
que	que						
vos	vos						
tenés	tenés						
à	à						
roi	roi						
.	.						
vos	vos						
respont	respont						
qe	qe						
je	je						
nen	nen						
ai	ai						
qe	qe						
fere	fere						
ne	ne						
ja	ja						
por	por						
moi	moi						
nen	nen						
avra	avra						
ce_q’	ce_q’						
il	il						
demanda	demanda						
.	.						
à	à						
vos	vos						
.	.						
qe	qe						
sa	sa						
est	est						
venus	venus						
.	.						
me	me						
tiengne	tiengne						
par_mult_poi_qe	par_mult_poi_qe						
je	je						
ne	ne						
vos	vos						
fais	fais						
destruire	destruire						
dou	dou						
cors	cors						
.	.						
alés	alés						
tost	tost						
devant	devant						
moi	moi						
.	.						
ne	ne						
plus	plus						
ne	ne						
i	i						
repairés	repairés						
.	.						
et	et						
se	se						
priant	priant						
vos	vos						
i	i						
mandra	mandra						
plus	plus						
jamés	jamés						
por	por						
autre	autre						
tel	tel						
mesaje	mesaje						
.	.						
nen	nen						
atendés	atendés						
retorner	retorner						
jamés	jamés						
à	à						
troie	troie						
.	.						
.	.						
coment	coment						
athenor	athenor						
ala	ala						
à	à						
salemine	salemine						
à	à						
talemon	talemon						
dire	dire						
son	son						
mesaje	mesaje						
athenor	athenor						
ne	ne						
demora	demora						
plus	plus						
entre	entre						
lui	lui						
et	et						
sa	sa						
conpaignie	conpaignie						
ains	ains						
se	se						
mistrent	mistrent						
de_denz	de_denz						
lor	lor						
nef	nef						
à	à						
mult	mult						
grant	grant						
haste	haste						
.	.						
si	si						
furent	furent						
mult	mult						
aleigre	aleigre						
quant	quant						
il	il						
furent	furent						
recoillis	recoillis						
.	.						
li	li						
vent	vent						
estoit	estoit						
adonc	adonc						
bon	bon						
et	et						
soëf	soëf						
.	.						
si	si						
se	se						
mistrent	mistrent						
à	à						
sigler	sigler						
à	à						
ploines	ploines						
voilles	voilles						
.	.						
en	en						
tel	tel						
mainiere	mainiere						
q’	q’						
il	il						
passerent	passerent						
toute	toute						
la	la						
riviere	riviere						
de	de						
boëces	boëces						
.	.						
qi	qi						
en	en						
grese	grese						
estoit	estoit						
.	.						
il	il						
ariverent	ariverent						
de_dens	de_dens						
les	les						
dui	dui						
jors	jors						
à	à						
salemine	salemine						
.	.						
là_où	là_où						
li	li						
roi	roi						
talemon	talemon						
demoroit	demoroit						
.	.						
et	et						
quant	quant						
il	il						
furent	furent						
au	au						
port	port						
arivés	arivés						
.	.						
il	il						
enquistrent	enquistrent						
où	où						
talemon	talemon						
estoit	estoit						
.	.						
cels	cels						
cui	cui						
il	il						
en	en						
demanderent	demanderent						
lor	lor						
distrent	distrent						
qe	qe						
là	là						
le	le						
trovera	trovera						
qi	qi						
à	à						
lui	lui						
voudra	voudra						
parler	parler						
.	.						
lor	lor						
s’	s’						
aparoilla	aparoilla						
athenor	athenor						
entre	entre						
lui	lui						
et	et						
sa	sa						
conpaignie	conpaignie						
mult	mult						
enveusieement	enveusieement						
.	.						
il	il						
monterent	monterent						
sor	sor						
riches	riches						
palefroins	palefroins						
.	.						
si	si						
s’	s’						
en	en						
alerent	alerent						
vers	vers						
la	la						
cité	cité						
.	.						
et	et						
quant	quant						
il	il						
furent	furent						
à	à						
la	la						
cité	cité						
venus	venus						
et	et						
entrés	entrés						
dedenz	dedenz						
.	.						
ill	ill						
alerent	alerent						
por	por						
les	les						
rues	rues						
amont	amont						
jusque	jusque						
au	au						
grant	grant						
palais	palais						
.	.						
là_où	là_où						
talemon	talemon						
estoit	estoit						
.	.						
puis	puis						
q’	q’						
il	il						
furent	furent						
au	au						
palais	palais						
venus	venus						
.	.						
si	si						
enqistrent	enqistrent						
là_où	là_où						
talemon	talemon						
estoit	estoit						
.	.						
qi	qi						
adonc	adonc						
estoit	estoit						
de_sous	de_sous						
un	un						
arbre	arbre						
de	de						
ciprés	ciprés						
de_denz	de_denz						
un	un						
biau	biau						
versier	versier						
qi	qi						
mult	mult						
getoit	getoit						
grant	grant						
odor	odor						
.	.						
il	il						
estoit	estoit						
asis	asis						
sor	sor						
un	un						
riche	riche						
tapit	tapit						
d’	d’						
espaigne	espaigne						
soutilment	soutilment						
hovrés	hovrés						
.	.						
il	il						
estoit	estoit						
vestus	vestus						
et	et						
ahornés	ahornés						
à	à						
guise	guise						
de	de						
roi	roi						
.	.						
devant	devant						
lui	lui						
avoit	avoit						
il	il						
adonc	adonc						
c	c						
chevaliers	chevaliers						
de	de						
plus	plus						
prosiés	prosiés						
de	de						
sa	sa						
maisnee	maisnee						
.	.						
et	et						
quant	quant						
anthenor	anthenor						
fu	fu						
devant	devant						
lui	lui						
venus	venus						
.	.						
il	il						
le	le						
salua	salua						
mult	mult						
sajement	sajement						
.	.						
li	li						
roi	roi						
talemon	talemon						
li	li						
rendi	rendi						
son	son						
salu	salu						
mult	mult						
cortoisement	cortoisement						
.	.						
ai	ai						
le	le						
fist	fist						
aseoir	aseoir						
devant	devant						
lui	lui						
.	.						
et	et						
quant	quant						
anthenor	anthenor						
fu	fu						
ensi	ensi						
asis	asis						
.	.						
il	il						
parla	parla						
en	en						
tel	tel						
mainiere	mainiere						
.	.						
.	.						
biau	biau						
sire	sire						
talemon	talemon						
.	.						
li	li						
roi	roi						
priant	priant						
de	de						
troie	troie						
.	.						
à	à						
cui	cui						
je	je						
sui	sui						
.	.						
vos	vos						
manda	manda						
par	par						
moi	moi						
qe	qe						
li	li						
rendois	rendois						
sa	sa						
suor	suor						
esionan	esionan						
.	.						
laquels	laquels						
vos	vos						
avés	avés						
tenue	tenue						
lonc	lonc						
tens	tens						
en	en						
soignantaje	soignantaje						
.	.						
car	car						
encore	encore						
la	la						
voudra	voudra						
marier	marier						
autement	autement						
.	.						
si	si						
vos	vos						
mande	mande						
par	par						
moi	moi						
q’	q’						
il	il						
ne	ne						
se	se						
conviens	conviens						
pas	pas						
à	à						
fille	fille						
de	de						
roi	roi						
estre	estre						
en	en						
songnantaje	songnantaje						
tenue	tenue						
.	.						
por	por						
quoi	quoi						
je	je						
vos	vos						
di	di						
qe	qe						
.	.						
se	se						
vos	vos						
la	la						
li	li						
rendés	rendés						
.	.						
vos	vos						
ferés	ferés						
qe	qe						
saje	saje						
et	et						
cortois	cortois						
.	.						
puis_q’	puis_q’						
il	il						
la	la						
vos	vos						
demande	demande						
si	si						
cortoisement	cortoisement						
.	.						
.	.						
coment	coment						
talemon	talemon						
respondi	respondi						
athenor	athenor						
hontosement	hontosement						
talemon	talemon						
a	a						
mult	mult						
bien	bien						
entendus	entendus						
tot_ce_qe	tot_ce_qe						
athenor	athenor						
li	li						
a	a						
dit	dit						
.	.						
si	si						
en	en						
fu	fu						
durement	durement						
iriés	iriés						
.	.						
il	il						
comensa	comensa						
à	à						
sorire	sorire						
de	de						
grant	grant						
fellonie	fellonie						
q’	q’						
il	il						
avoit	avoit						
.	.						
puis	puis						
respondi	respondi						
en	en						
tel	tel						
mainere	mainere						
.	.						
.	.						
vasal	vasal						
.	.						
fist	fist						
il	il						
.	.						
je	je						
ne	ne						
sai	sai						
qi	qi						
est	est						
ton	ton						
roi	roi						
.	.						
ne	ne						
jamés	jamés						
ne	ne						
le	le						
vi	vi						
.	.						
si_com	si_com						
je	je						
cuit	cuit						
.	.						
ni	ni						
à	à						
lui	lui						
ne	ne						
cuit	cuit						
riens	riens						
avoir	avoir						
à	à						
fere	fere						
.	.						
mes	mes						
il	il						
est	est						
bien	bien						
voir	voir						
qe	qe						
je	je						
.	.						
co	co						
les	les						
autres	autres						
princes	princes						
de	de						
grese	grese						
.	.						
fumes	fumes						
à	à						
troie	troie						
por	por						
la	la						
honte	honte						
vengier	vengier						
qe	qe						
laomedon	laomedon						
avoit	avoit						
fet	fet						
à	à						
hercules	hercules						
à	à						
son	son						
port	port						
.	.						
si	si						
vos	vos						
di	di						
qe	qe						
nos	nos						
vengiames	vengiames						
cele	cele						
onte	onte						
.	.						
car	car						
nos	nos						
preïmes	preïmes						
la_qel	la_qel						
hercules	hercules						
me	me						
dona	dona						
por	por						
loier	loier						
de	de						
ma	ma						
victoire	victoire						
.	.						
car	car						
je	je						
fui	fui						
celui	celui						
qe	qe						
premierement	premierement						
entrai	entrai						
de_denz	de_denz						
la	la						
cité	cité						
.	.						
la	la						
pulcelle	pulcelle						
ai	ai						
je	je						
encore	encore						
et	et						
la	la						
tieng	tieng						
et	et						
la	la						
terrai	terrai						
.	.						
et	et						
l’	l’						
aim	aim						
et	et						
l’	l’						
amerai	amerai						
tot	tot						
le	le						
jor	jor						
de	de						
ma	ma						
vie	vie						
.	.						
se	se						
cuit	cuit						
.	.						
sans	sans						
doner	doner						
-le	-le						
à	à						
nullui	nullui						
.	.						
por_ce_qe	por_ce_qe						
à	à						
honte	honte						
me	me						
seroit	seroit						
atornee	atornee						
se	se						
je	je						
ensi	ensi						
rendoie	rendoie						
le	le						
loier	loier						
de	de						
ma	ma						
victoire	victoire						
recreanment	recreanment						
.	.						
à	à						
vos	vos						
di	di						
je	je						
en	en						
tel	tel						
mainiere	mainiere						
qe	qe						
.	.						
se	se						
vos	vos						
ne	ne						
fustes	fustes						
mesajer	mesajer						
.	.						
je	je						
feroie	feroie						
jostice	jostice						
de	de						
vostre	vostre						
cors	cors						
.	.						
hosté	hosté						
vos	vos						
devant	devant						
moi	moi						
tot_maintenant	tot_maintenant						
.	.						
et	et						
bien	bien						
gardés	gardés						
qe	qe						
vos	vos						
ne	ne						
soiés	soiés						
trovés	trovés						
de_denz	de_denz						
ma	ma						
terre	terre						
de	de						
si	si						
à	à						
troiz	troiz						
jors	jors						
car	car						
.	.						
se	se						
trovés	trovés						
i	i						
fusiés	fusiés						
.	.						
je	je						
ve	ve						
feroie	feroie						
honir	honir						
de	de						
vostre	vostre						
cors	cors						
.	.						
ensement	ensement						
feroie	feroie						
à	à						
tos	tos						
cels	cels						
q’	q’						
il	il						
nos	nos						
envoiast	envoiast						
.	.						
.	.						
coment	coment						
athenor	athenor						
s’	s’						
en	en						
ala	ala						
en	en						
achaie	achaie						
à	à						
castor	castor						
et	et						
appollus	appollus						
son	son						
mesaje	mesaje						
conter	conter						
vergogne	vergogne						
hot	hot						
athenor	athenor						
et	et						
paor	paor						
mult	mult						
grant	grant						
quant	quant						
il	il						
oï	oï						
la	la						
response	response						
talemon	talemon						
.	.						
si	si						
se	se						
mis	mis						
au	au						
repaire	repaire						
vers	vers						
sa	sa						
nef	nef						
tot_maintenant	tot_maintenant						
et	et						
se	se						
mistrent	mistrent						
de_denz	de_denz						
.	.						
adonc	adonc						
estoit	estoit						
la	la						
mer	mer						
dous	dous						
et	et						
soëf	soëf						
et	et						
le	le						
vent	vent						
bon	bon						
et	et						
verais	verais						
.	.						
qi	qi						
tost	tost						
le	le						
mist	mist						
en	en						
aute	aute						
mer	mer						
.	.						
il	il						
nagerent	nagerent						
et	et						
siglerent	siglerent						
tant_q’	tant_q’						
il	il						
vindrent	vindrent						
en	en						
achaie	achaie						
.	.						
là_où	là_où						
il	il						
trova	trova						
castor	castor						
et	et						
apollus	apollus						
.	.						
à	à						
cui	cui						
athenor	athenor						
conta	conta						
tot	tot						
son	son						
mesaje	mesaje						
sanz	sanz						
riens	riens						
fauser	fauser						
.	.						
castor	castor						
et	et						
pollus	pollus						
li	li						
respondirent	respondirent						
en	en						
tel	tel						
maniere	maniere						
q’	q’						
il	il						
nen	nen						
avoient	avoient						
à	à						
priant	priant						
nulle	nulle						
riens	riens						
à	à						
faire	faire						
ni	ni						
ne	ne						
le	le						
connosoient	connosoient						
.	.						
bien	bien						
savoient	savoient						
il	il						
q’	q’						
il	il						
avoient	avoient						
guerre	guerre						
ho	ho						
les	les						
troiens	troiens						
.	.						
ni	ni						
à	à						
lor	lor						
gent	gent						
nen	nen						
avoient	avoient						
nulle	nulle						
comunité	comunité						
ne	ne						
nulle	nulle						
costumance	costumance						
.	.						
voirement	voirement						
.	.						
por	por						
le	le						
honte	honte						
qe	qe						
laomedon	laomedon						
avoit	avoit						
fet	fet						
à	à						
hercules	hercules						
à	à						
son	son						
port	port						
.	.						
fu	fu						
grese	grese						
esmeü	esmeü						
dou	dou						
vengier	vengier						
por	por						
qoi	qoi						
troie	troie						
fu	fu						
mise	mise						
à	à						
feu	feu						
et	et						
à	à						
destrution	destrution						
.	.						
.	.						
se	se						
talemon	talemon						
tient	tient						
la	la						
fille	fille						
laomedon	laomedon						
.	.						
de	de						
part	part						
diex	diex						
soit	soit						
.	.						
que	que						
nos	nos						
nen	nen						
avos	avos						
qe	qe						
fere	fere						
.	.						
alés	alés						
vos	vos						
en	en						
.	.						
ni	ni						
jamés	jamés						
por	por						
ceste	ceste						
acheison	acheison						
ne	ne						
i	i						
retornés	retornés						
.	.						
si	si						
chier	chier						
com	com						
vos	vos						
avés	avés						
vostre	vostre						
vie	vie						
.	.						
car	car						
.	.						
se	se						
vos	vos						
ou	ou						
autres	autres						
i	i						
retornerés	retornerés						
.	.						
cherement	cherement						
l’	l’						
achaterés	achaterés						
de	de						
vostre	vostre						
cors	cors						
.	.						
si	si						
dites	dites						
à	à						
celui	celui						
qi	qi						
ca	ca						
vos	vos						
envoia	envoia						
.	.						
q’	q’						
il	il						
amoit	amoit						
poi	poi						
vostre	vostre						
vie	vie						
.	.						
.	.						
atant	atant						
se	se						
parti	parti						
athenor	athenor						
ho	ho						
sa	sa						
nef	nef						
.	.						
la	la						
forte	forte						
bise	bise						
ventoit	ventoit						
adonc	adonc						
mult	mult						
fort	fort						
.	.						
qi	qi						
les	les						
chaca	chaca						
par_mi	par_mi						
la	la						
mer	mer						
tant_q’	tant_q’						
il	il						
ariverent	ariverent						
à	à						
pirre	pirre						
.	.						
là_où	là_où						
il	il						
troverent	troverent						
li	li						
roi	roi						
nestor	nestor						
qe	qe						
mult	mult						
estoit	estoit						
fel	fel						
et	et						
engrés	engrés						
.	.						
et	et						
mains	mains						
homes	homes						
avoit	avoit						
il	il						
ja	ja						
à	à						
ses	ses						
mains	mains						
hocis	hocis						
sans	sans						
ce_qu’	ce_qu’						
il	il						
li	li						
eüsent	eüsent						
rienz	rienz						
forfet	forfet						
.	.						
quant	quant						
athenor	athenor						
fu	fu						
en_luec	en_luec						
venus	venus						
.	.						
il	il						
descendi	descendi						
de	de						
sa	sa						
nef	nef						
.	.						
si	si						
ala	ala						
devan	devan						
lui	lui						
.	.						
il	il						
li	li						
dist	dist						
tot	tot						
son	son						
mesaje	mesaje						
sans	sans						
riens	riens						
fauser	fauser						
.	.						
ja	ja						
por	por						
paor	paor						
ne	ne						
laisa	laisa						
.	.						
coment	coment						
li	li						
roi	roi						
nestor	nestor						
respondi	respondi						
à	à						
athenor	athenor						
quant	quant						
nestor	nestor						
hoï	hoï						
le	le						
mesaje	mesaje						
.	.						
il	il						
fu	fu						
corrociéz	corrociéz						
durement	durement						
.	.						
si	si						
comensa	comensa						
à	à						
mirer	mirer						
athenor	athenor						
de	de						
travers	travers						
mult	mult						
enflés	enflés						
et	et						
fel	fel						
et	et						
iriéz	iriéz						
de	de						
grant	grant						
mainiere	mainiere						
.	.						
.	.						
bastart	bastart						
.	.						
fist	fist						
il	il						
.	.						
fis	fis						
à	à						
putain	putain						
renoiés	renoiés						
.	.						
je	je						
me	me						
tieng	tieng						
par_poi_qe	par_poi_qe						
je	je						
ne	ne						
vos	vos						
fais	fais						
les	les						
els	els						
crever	crever						
quant	quant						
vos	vos						
devant	devant						
moi	moi						
hosastes	hosastes						
tel	tel						
parlement	parlement						
tenir	tenir						
.	.						
qel	qel						
chouse	chouse						
ai	ai						
je	je						
à	à						
faire	faire						
à	à						
vostre	vostre						
roi	roi						
.	.						
je	je						
nen	nen						
ai	ai						
à	à						
li	li						
amor	amor						
ni	ni						
pes	pes						
ne	ne						
ne	ne						
la	la						
vuoil	vuoil						
.	.						
car	car						
en	en						
sa	sa						
pes	pes						
ne	ne						
m’	m’						
oseroie	oseroie						
je	je						
fier	fier						
.	.						
si	si						
aime	aime						
je	je						
asés	asés						
miels	miels						
la	la						
guerre	guerre						
de	de						
lui	lui						
qe	qe						
la	la						
pes	pes						
.	.						
por_ce_qe	por_ce_qe						
fui	fui						
à	à						
hocire	hocire						
son	son						
pere	pere						
et	et						
sa	sa						
mere	mere						
et	et						
ses	ses						
sereors	sereors						
ausi	ausi						
.	.						
et	et						
sa	sa						
cité	cité						
ardoir	ardoir						
et	et						
degaster	degaster						
por	por						
la	la						
honte	honte						
et	et						
por	por						
le	le						
lait	lait						
qe	qe						
son	son						
pere	pere						
fist	fist						
à	à						
nos	nos						
genz	genz						
à	à						
son	son						
port	port						
.	.						
